License #,Name,License Status,Address,Phone,Endorsements Type,RMI Owner,Start Date,End Date
235208,None,Active,123 SUNRISE AVE MEDFORD OR 97504,(937) 638-0467,Residential General Contractor,"Member (Limited Liability Company)CISCO, ERIC DANIEL

RMI OwnerCISCO, ERIC DANIEL",4/1/2021,4/1/2025
179981,ACCURATE SHEET METAL,Not Active - Expired,4860 RIDDELL RD MONMOUTH OR 97361,(503) 838-6399,General Contractor/All,"RMI OwnerSPEELMAN, ROY ERNEST",1/3/2008,1/3/2010
169881,None,Not Active - Expired,PO BOX 269 ROSEBURG OR 97470,(541) 817-2780,Residential Specialty Contractor,"Member (Limited Liability Company)PAPPAS, JAMES PAUL

RMI OwnerPAPPAS, JAMES PAUL",5/9/2006,5/9/2024
241614,None,Active,3770 E ST SPRINGFIELD OR 97478,(541) 731-4036,Residential General Contractor,"Member (Limited Liability Company)TARDIE, ADAM JOSEPH

RMI OwnerTARDIE, ADAM JOSEPH",7/28/2022,7/28/2024
174586,None,Not Active - Expired after a lapse,11363 SW CHANTILLY WILSONVILLE OR 97070,(503) 570-9315,Residential General Contractor,"Corporate OfficerMILBURN, GARY LEWIS

RMI OwnerMILBURN, GARY LEWIS",2/26/2007,2/26/2011
90886,None,Not Active - Expired after a lapse,2576 CEDAR FLAT RD WILLIAMS OR 97544-9605,(541) 846-9471,General Contractor/All,"Family Corporate OfficerSMITH, DAVID M

Family Corporate OfficerSMITH, JEFFREY A

Family Corporate OfficerSMITH, JUDY D

Family Corporate OfficerSMITH, RICHARD M

Family Corporate OfficerSMITH, TAMI L",6/1/1993,6/1/2003
125812,None,Not Active - Expired,19697 NUGGET BEND OR 97702-9731,(541) 388-6969,Limited Contractor,None,10/23/1997,10/23/1999
80114,None,Active,5145 INDUSTRIAL WY BENICIA CA 945101042,(707) 746-8800,Commercial General Contractor Level 2,"Corporate OfficerBOWEN, JASON

Corporate OfficerBRADSHAW, GEORGE R

Corporate OfficerHADDOX, JAMES HOWARD

Corporate OfficerJENSEN, DERRICK ALAN

Corporate OfficerLUDWIGSEN, GIFFORD LEE

RMI EmployeeMCMANUS, ANDREW ALEXANDER

Previous RMIRONCO, CHRISTOPHER JOSEPH",2/27/1992,3/1/2026
130288,None,Not Active - Expired after a lapse,2450 W NOB HILL SE SALEM OR 97302,(503) 315-7492,Specialty Contractor/Res,None,7/6/1998,8/15/2006
127670,JOHN COMSTOCK CONSTRUCTION,Not Active - Expired after a lapse,7140 N ALTA PORTLAND OR 97203,(503) 805-2994,Limited Contractor,None,2/24/1998,2/24/2000
227737,None,Not Active - Expired after a lapse,1088 HERMANSON ST WOODBURN OR 97071,(503) 964-2632,Residential General Contractor,"Member (Limited Liability Company)TIPIKIN, ANTONI ALEXVICHY

RMI OwnerTIPIKIN, ANTONI ALEXVICHY",8/26/2019,8/26/2021
232772,None,Active,PO BOX 8778 BEND OR 97708,(541) 480-5016,Residential General Contractor,"Member (Limited Liability Company)SPANBAUER, JEREMIAH RAY

RMI OwnerSPANBAUER, JEREMIAH RAY",11/13/2020,11/13/2024
166743,None,Not Active - Expired,490 NW FLAGLINE DR BEND OR 97701,(541) 322-9900,Inspector,"Member (Limited Liability Company)DOBBS SR, JAMES DEXTER

Member (Limited Liability Company)DOBBS, LAURA JOHANNA

RMI OwnerDOBBS SR, JAMES DEXTER",10/11/2005,10/11/2007
187573,None,Not Active - Expired after a lapse,7916 NE 19TH CT VANCOUVER WA 98665,(360) 903-4959,Residential Specialty Contractor,"PartnerMANNHALTER, ALLAN DAVID

PartnerMANNHALTER, RANDY ALLAN

RMI OwnerMANNHALTER, RANDY ALLAN",7/30/2009,7/30/2011
198039,AMERICAN DRAIN MASTERS,Active,PO BOX 20962 PORTLAND OR 97294,(503) 933-1183,Residential General Contractor,"Member (Limited Liability Company)SHURTE, AMARA VIVIAN

Member (Limited Liability Company)SHURTE, ROBERT JAMES

RMI OwnerSHURTE, AMARA VIVIAN",9/28/2012,9/28/2024
151341,None,Not Active - Expired after a lapse,PO BOX 7 DUFUR OR 97021,(541) 296-4041,General Contractor/All,"Member (Limited Liability Company)TURNER, AARON RAY

Member (Limited Liability Company)TURNER, MARK EDWARD",5/3/2002,5/3/2008
59835,"AK PAINTING

ELITE PAINTING",Suspended - Not Active,1335 AMY CT WOODBURN OR 97071,(503) 981-6088,Specialty Contractor/Res,None,4/17/1989,3/27/1997
142175,None,Not Active - Expired after a lapse,766 S 3RD ST INDEPENDENCE OR 97351,(503) 838-0592,Specialty Contractor/All,"Corporate OfficerBENNETT, ARTHUR DAVID

Corporate OfficerGLAOKOWSKI, JOHN JAMES",4/11/2000,4/11/2002
186376,None,Not Active - Expired,10725 SW TUALATIN SHERWOOD RD TUALATIN OR 97062,(503) 692-3370,Commercial General Contractor Level 2,"Corporate OfficerBUCHANAN, GLEN ALAN

RMI EmployeeROSALES, DAVID",4/17/2009,4/17/2017
47403,SPECIALTY CONCRETE,Not Active - Expired,48365 SW CHANTERELLE DR FOREST GROVE OR 97116-7239,3573584,Residential General Contractor,"RMI OwnerWANDELL, PAT",3/7/1985,3/9/2014
73929,None,Not Active - Expired,7325 SE 133RD PLACE PORTLAND OR 97326,(503) 287-2446,General Contractor/All,"Corporate OfficerMAYNARD, MISKO Y",5/21/1991,5/21/2004
228118,None,Not Active - Expired after a lapse,36713 INDIAN SUMMER ST SANDY OR 97055,(503) 550-8964,Residential General Contractor,"Member (Limited Liability Company)FREDRICKSON, CODY BISCHOFF

RMI OwnerFREDRICKSON, CODY BISCHOFF",9/24/2019,9/24/2021
179135,None,Active,17326 GOLDEN EYE DR BEND OR 97707,(541) 419-7309,Residential General Contractor,"Member (Limited Liability Company)NOLTE, BRIAN CHRISTOPHER

Member (Limited Liability Company)NOLTE, CHRISTOPHER WILLIAM

Member (Limited Liability Company)NOLTE, SARA IRENE

RMI OwnerNOLTE, BRIAN CHRISTOPHER",1/24/2008,1/24/2026
62018,None,Not Active - Expired,PO BOX 139 MAPLE VALLEY WA 98038-0139,(503) 689-5567,General Contractor/Res,"Corporate OfficerSOLEIM, DAVID E

Corporate OfficerSOLEIM, ERIC

Corporate OfficerSOLEIM, JACQUELINE M

Corporate OfficerSUTHERLAND, JOHN",10/16/1989,10/16/1995
230056,"FIVE STAR PAINTING OF BEND

FIVE STAR PAINTING OF PORTLAND

FIVE STAR ROOFING

GARAGE EXPERTS OF PORTLAND",Active,PO BOX 7324 ALOHA OR 97007,(503) 608-8439,Commercial Specialty Contractor Level 1Residential General Contractor,"Member (Limited Liability Company)HO, MICHAEL NGUYEN

Member (Limited Liability Company)NICHOLS, PATRICK EDWARD

RMI OwnerHO, MICHAEL NGUYEN",2/26/2020,2/26/2026
36561,DEMO TECH,Not Active - Expired after a lapse,PO BOX 100 LEBANON OR 97355-0100,(541) 451-1393,General Contractor/All,"Corporate OfficerMODDERMAN, TODD

RMI OwnerMODDERMAN, TODD",4/22/1981,4/27/2010
155572,"EMPLOYERS OVERLOAD

EMPLOYERS OVERLOAD OF PORTLAND",Not Active - Expired after a lapse,PO BOX 1928 LAKE OSWEGO OR 97035-0018,(503) 639-1400,General Contractor/All,"Family Corporate OfficerSZAMBELAN, ELOISE MAE

Family Corporate OfficerSZAMBELAN, PETER JOHN

Family Corporate OfficerSZAMBELAN, THOMAS PETER",5/23/2003,5/23/2005
205046,NORTHWESTERN HANDCRAFTED HOMES,Not Active - Expired,9999 WAGNER CRK RD TALENT OR 97540,(541) 890-4195,Residential General Contractor,"RMI OwnerBANKS, STEVEN FRED",1/27/2015,1/27/2017
233095,None,Not Active - Expired after a lapse,1842 SW REINDEER AVE REDMOND OR 97756,(541) 527-5085,Residential General Contractor,"Member (Limited Liability Company)SILVA ZEPEDA, DAVID ABIRAM

RMI OwnerSILVA ZEPEDA, DAVID ABIRAM",10/30/2020,10/30/2022
84454,HICKCOX ORNAMENTAL IRON,Not Active - Voluntarily Surrendered,PO BOX 2306 LEBANON OR 97355,(541) 258-3076,Residential General Contractor,"RMI OwnerHICKCOX, WELLS B",6/24/1992,6/24/2011
48622,None,Not Active - Expired,1638 NW OVERTON ST PORTLAND OR 97209-2481,(503) 226-2762,Commercial Specialty Contractor Level 1Residential Specialty Contractor,"Corporate OfficerBUTCHER, PAMELA D

RMI OwnerBUTCHER, PAMELA D",8/5/1985,8/8/2011
215654,L & RX,Not Active - Voluntarily Surrendered,4923 DELIGHT ST N KEIZER OR 97303,(503) 951-0921,Residential General Contractor,"RMI OwnerBENEDICT, LAWRENCE HEGBERT",6/6/2017,6/6/2019
243960,None,Active,5005 CONSTELLATION AVE NE SALEM OR 97305,(503) 800-1760,Residential General Contractor,"Member (Limited Liability Company)AGLICHEV, OLEH

Member (Limited Liability Company)ALEKSEYENKO, ALEX PETROVICH

RMI OwnerALEKSEYENKO, ALEX PETROVICH",1/3/2023,1/3/2025
164297,None,Not Active - Voluntarily Surrendered,PO BOX 403 SANDY OR 97055,(503) 319-5397,Residential Limited Contractor,"Member (Limited Liability Company)NAYLOR, ANDREW LEE

RMI OwnerNAYLOR, ANDREW LEE",4/20/2005,4/20/2017
239400,None,Active,5221 SE 46TH AVE PORTLAND OR 97206,(503) 709-5580,Residential General Contractor,"Member (Limited Liability Company)RODGERS, SEAN AVERY

RMI OwnerRODGERS, SEAN AVERY",2/10/2022,3/11/2026
171809,None,Not Active - Expired after a lapse,550 E MAIN ST ASHLAND OR 97520,,Licensed Developer,"Member (Limited Liability Company)ARCHERD & DRESNER LLC

Member (Limited Liability Company)BREEZE, REGINALD PAUL

Member (Limited Liability Company)DALE, RUSSELL ELLIS

Member (3rd Lvl) of an LLC that is a MemberARCHERD, EVAN PAUL

Member (3rd Lvl) of an LLC that is a MemberDRESNER, HAROLD A",1/12/2007,1/12/2009
241539,None,Suspended - Insurance not on file,13436 SW SCOTTSBRIDGE DR TIGARD OR 97223,(971) 990-1074,Residential General Contractor,"PartnerDE TOUR, BRIAN LEE

PartnerDE WHITE, SALLIE VEGA

RMI OwnerDE TOUR, BRIAN LEE

Also Known AsDE WHITE, SALLY VEGA",9/1/2022,9/1/2024
243221,None,Active,15758 SE HIGHWAY 224 UNIT 11 DAMASCUS OR 97089,(503) 793-7630,Residential General Contractor,"Member (Limited Liability Company)ESPANA MARTINEZ, JOSE NELDO

Member (Limited Liability Company)ESPANA, LILI CELESTE

RMI OwnerESPANA, LILI CELESTE",11/2/2022,11/2/2024
181658,None,Not Active - Voluntarily Surrendered,1350 NW 8TH AVE HILLSBORO OR 97124,(503) 277-3112,Residential General Contractor,"Member (Limited Liability Company)HACKBART, RUSSELL ALAN

RMI OwnerHACKBART, RUSSELL ALAN",4/21/2008,4/21/2020
102480,None,Active,421 MIDDLECREST RD LAKE OSWEGO OR 97034,(503) 819-4664,Commercial General Contractor Level 2Residential General Contractor,"Corporate OfficerABBOTT, DAVID EDMUND

RMI OwnerABBOTT, DAVID EDMUND",10/7/1994,10/7/2025
224290,None,Active,7902 NE 92ND AVE VANCOUVER WA 98662,(360) 784-9778,Residential Specialty Contractor,"Member (Limited Liability Company)NASCIMENTO, DANILO GILVAN

RMI OwnerNASCIMENTO, DANILO GILVAN",1/22/2019,1/22/2025
249124,None,Active,3400 PLAYERS CLUB PARKWAY SUITE 300 MEMPHIS TN 38125,(800) 776-4663,Residential General Contractor,"Corporate OfficerBRIM, CHASTITIE SHEPPARD

Corporate OfficerCLARKE, TRACY LYNN

Corporate OfficerCOBB, WILLIAM CHARLES

Corporate OfficerDAVIS, MATTHEW STEWART

Corporate OfficerFIARMAN, JEFFREY ALAN

Corporate OfficerROSS, JESSICA PAIGE

Corporate OfficerWOODS, JENNIFER LEA BROWN

RMI EmployeeBARNETTE, JOSEPH EUGENE",2/9/2024,2/9/2025
120273,None,Not Active - Expired after a lapse,PO BOX 1410 COTTAGE GROVE OR 97424-0059,(541) 942-0590,General Contractor/Res,"Corporate OfficerAROWCAVAGE, ADAM ALBERT

Corporate OfficerAROWCAVAGE, ERICKA ANN",2/12/1997,2/17/2008
233840,None,Suspended - Insurance not on file,10841 S RIDGEVIEW RD OLATHE KS 66061,(913) 599-6886,Commercial Specialty Contractor Level 1,"Corporate OfficerPACKER, MARTHA GAYLE

Corporate OfficerVRANA, DONALD JAMES

Corporate OfficerYOST, MICHAEL JOHN

RMI EmployeeELLIS, CONNOR JOHN",1/4/2021,1/4/2025
197861,"HUGHES ELECTRIC

PYRAMID CONSTRUCTION OF OREGON",Not Active - Expired after a lapse,757 NW MONROE AVE #3 CORVALLIS OR 97330,(541) 740-4210,Residential General Contractor,"Member (Limited Liability Company)HUGHES, DAVID DEWAYNE

RMI OwnerHUGHES, DAVID DEWAYNE",9/7/2012,9/7/2018
218809,None,Active,9905 NE 103RD CIRCLE VANCOUVER WA 98662,(360) 721-1407,Residential General Contractor,"Family MemberBUDEY, VASYL VASILYEVICH

Family MemberBUDEY, VOLODYMYR VASILIEVICH

RMI OwnerBUDEY, VOLODYMYR VASILIEVICH",2/5/2018,2/5/2026
201504,ALL SERVICE MOVING,Active,66 SE MORRISON ST PORTLAND OR 97214,(503) 810-2770,Commercial General Contractor Level 2Residential General Contractor,"Member (Limited Liability Company)GRABEEL, JEFFREY BUCK

RMI OwnerGRABEEL, JEFFREY BUCK",12/9/2013,12/9/2025
76115,ABODE HEATING & AIR CONDITIONING,Not Active - Expired after a lapse,6151 SE HACIENDA ST HILLSBORO OR 97123-2921,(503) 439-9357,General Contractor/All,None,8/30/1991,9/1/2008
231488,None,Active,6023 SE INSLEY ST PORTLAND OR 97206,(503) 757-8977,Residential General Contractor,"RMI OwnerDOHERTY, EAMONN MARTIN CONSTANTINE",7/15/2020,7/15/2024
43768,None,Not Active - Expired after a lapse,PO BOX 203 COQUILLE OR 97423,(503) 396-2009,General Contractor/Res,"Corporate OfficerLINDSEY, KATHY

Corporate OfficerSAMS, DAVID

Corporate OfficerSTOKES, GUY",10/21/1983,2/21/1995
54308,AINA PAINTING,Not Active - Voluntarily Surrendered,2417 11TH AVE FOREST GROVE OR 97116-2903,(503) 357-2313,Residential Specialty Contractor,"RMI OwnerAINA, DON K",8/25/1987,9/27/2011
107648,None,Not Active - Voluntarily Surrendered,2380 RIVER ROAD SUITE B EUGENE OR 97404-5012,(541) 461-8548,Limited Contractor,"Corporate OfficerBYERLY, CHARLES ED

Corporate OfficerKIRCHNER, BARBARA JANE",7/19/1995,7/19/1998
124925,MOUNTAIN CONSTRUCTION,Not Active - Expired after a lapse,16929 MOUNTAIN VIEW LANE WOODBURN OR 97071,(503) 982-7144,Specialty Contractor/Res,None,8/29/1997,2/8/2003
228842,None,Not Active - Expired,61669 FARGO LANE BEND OR 97702,(541) 480-3919,Residential General Contractor,"Member (Limited Liability Company)MONFORT, SEAN MICHAEL

RMI OwnerMONFORT, SEAN MICHAEL",11/18/2019,11/18/2023
166133,KAREN BERTOLUCCI CONSTRUCTION,Not Active - Expired after a lapse,2385 LIBERTY ST NE SALEM OR 97301-8357,(503) 585-2848,General Contractor/Res,"Family Corporate OfficerBERTOLUCCI, DANNY LOUIS

Family Corporate OfficerBERTOLUCCI, KAREN ARNDT",8/19/2005,8/19/2011
74504,None,Not Active - Expired,1201 E EL SEGUNDO BLVD EL SEGUNDO CA 90245,(310) 606-9300,Commercial General Contractor Level 2,"Corporate OfficerBOYD, DOROTHY J

Corporate OfficerBOYD, MICHAEL WAYNE

RMI OwnerBOYD, DOROTHY J",6/14/1991,6/14/2021
128933,"FINISHING TOUCH PAINTING SERVICES, A",Not Active - Expired,2974 SW OLAF TERRACE ALOHA OR 97006,(503) 524-0345,General Contractor/All,None,3/25/1998,3/25/2002
218028,None,Active,2418 NW 22ND ST REDMOND OR 97756,(541) 279-9916,Residential General Contractor,"Member (Limited Liability Company)PALOMINO RUIZ, ALBERTO

Member (Limited Liability Company)PALOMINO, MARISOL MIREYA

RMI OwnerPALOMINO, MARISOL MIREYA",12/1/2017,12/1/2025
199615,None,Active,1122 SE ALDER ST HILLSBORO OR 97123,(503) 858-5967,Residential General Contractor,"Family MemberGOMEZ, ITZEL ANAID

Family MemberGOMEZ, NOE DAVID

Family MemberSAYAGO, JOSE LUIS

RMI OwnerSAYAGO, JOSE LUIS",4/15/2013,4/15/2025
232549,None,Not Active - Expired,2425 E MAGNESIUM RD SPOKANE WA 99217,(509) 655-7711,Commercial General Contractor Level 1,"General Partner (Limited Partnership)HIGHWOOD USA INC

PartnerKERR, KEVIN JOHN

PartnerPALMER, ROBERT MORRIS

RMI EmployeeHAYNES, SCOTT HRISTENSEN",9/23/2020,9/23/2022
96974,None,Not Active - Expired after a lapse,229 STERLING DR EUGENE OR 97404,(541) 689-8414,Specialty Contractor/All,"Family Corporate OfficerSCHMITT, ILLYNE

Family Corporate OfficerSCHMITT, RICHARD GLENN

Family Corporate OfficerSCHMITT, TERESA JEAN",2/24/1994,2/24/2001
210153,None,Not Active - Expired after a disciplinary action,227 PRAIRIE ROAD GRANGEVILLE OR 83530-5209,(541) 280-0246,Residential General Contractor,"Corporate OfficerCAMPBELL, ERIC ALEXANDER

Corporate OfficerCAMPBELL, MICAH KATHLEEN

RMI OwnerCAMPBELL, MICAH KATHLEEN",4/15/2016,4/15/2018
147284,None,Active,PO BOX 50085 - ATTN: LEGAL DEPT WATSONVILLE CA 950775085,(831) 768-4086,Commercial General Contractor Level 1,"Corporate OfficerBEEVOR, DARREN SHAWN

Corporate OfficerCOPPINGER, TRACY ESTELLE

Corporate OfficerPRICE, GARY RUSSELL

Corporate OfficerSTINSON, ASHLEY MARIE

RMI OwnerPRICE, GARY RUSSELL",3/20/2001,3/20/2025
172472,None,Not Active - Expired after a lapse,63 SW MCKINLEY BEND OR 97702,(616) 403-2375,Residential Specialty Contractor,"Member (Limited Liability Company)PHILLIPS, KEITH EDWARD

RMI OwnerPHILLIPS, KEITH EDWARD",10/6/2006,10/20/2014
105653,None,Not Active - Expired after a lapse,571 SE THIRD HILLSBORO OR 97123,(503) 648-5946,Specialty Contractor/All,"PartnerVAN DYKE, ANDREW JAMES

PartnerVAN DYKE, BRYAN CHARLES",4/11/1995,4/11/1999
153164,None,Not Active - Expired after a lapse,6802 NE 63RD PORTLAND OR 97218-2728,(503) 572-1366,General Contractor/All,"Corporate OfficerWOOD, ASHER MARVIN",10/16/2002,2/7/2007
240429,None,Active,PO BOX 1281 WILLAMINA OR 97396,(541) 921-0926,Residential General Contractor,"Member (Limited Liability Company)BENNETT, CLIFFORD CHRISTOPHER GRANT

Member (Limited Liability Company)BENNETT, CLINTON WOODROW DONALD

RMI OwnerBENNETT, CLINTON WOODROW DONALD",5/19/2022,5/19/2026
93472,None,Not Active - Expired,1562 PARKWAY LOOP SUITE E TUSTIN CA 92780,(714) 566-9090,Commercial General Contractor Level 2,"Corporate OfficerGUESMAN, GARY W

RMI OwnerGUESMAN, GARY W",8/27/1993,10/3/2015
100059,None,Not Active - Expired after a lapse,13597 DUANE AVE OREGON CITY OR 97045,(503) 657-9455,General Contractor/Res,"Family Corporate OfficerLEE, DAYLE

Family Corporate OfficerLEE, ERIC

Family Corporate OfficerLEE, MATTHEW

Family Corporate OfficerLEE, SUSAN",7/21/1994,7/21/2000
211991,None,Not Active - Expired after a disciplinary action,2210 11TH AVE FOREST GROVE OR 97116,(971) 713-1809,Residential General Contractor,"Member (Limited Liability Company)DEAN, BARRY CRAIG

RMI OwnerDEAN, BARRY CRAIG",9/9/2016,9/9/2018
